,1,2,3,4,5,6,7,8,9,10,11,12
V120,2.041619939,24.22655403,2.246937562,13.91788389,6.011868878,16.67972424,16.25014669,2.210339491,0.955528852,12.11251533,2.679152481,5.140922477
V121,10.50288397,38.98855849,2.698919368,32.09137994,12.64637474,35.03318788,40.26653121,53.67299197,36.07626525,3.011506863,8.867197064,5.963151077
V122,29.22357713,18.58838134,1.3317804,44.62593354,2.013927947,31.82644854,36.15215636,113.8647534,2.116538302,3.139759131,3.447689474,4.211562025
V123,5.794298988,17.59955847,29.37341134,12.62527516,133.1981921,14.92462887,5.499434252,14.57926894,12.83370731,23.92792911,14.35460622,3.928341394
V124,269.8469944,23.80671944,14.61711875,1.628205033,42.19391653,58.57780246,127.7879686,166.4005714,24.19226608,21.89157613,14.97128909,1901.289678
V125,2.779921187,11.58118461,1.738304215,5.80523123,2.042899302,8.46067851,8.173934042,2.590170575,4.514224049,2.212522877,9.917256865,4.319494554
V126,318.8158877,4.855185329,17.85360882,231.7576682,7.59179155,9.322163807,8.606322939,1.492605828,55.84288234,14.05267075,78.34725287,15.5320291
V127,18.11681507,11.87393463,3.680090582,1.792837924,32.65088887,17.08445411,38.34045004,5.930228475,2.054578734,13.56614157,20.44359957,7.533706697
V128,79.09412482,15.78752991,46.58380076,5.527364252,57.15182654,21.97999758,7.150372765,16.26103586,63.31878401,14.1107013,2.123443704,21.96868226
V129,1.410436895,23.16452842,8.980758149,7.332240403,12.82497288,10.01285086,7.194156457,37.31478982,13.05918947,12.70216426,21.37041456,2.826421307
V130,39.75743339,16.07668302,3.47737797,4.360219028,5.722765349,16.98385888,9.272824777,28.98211882,3.959964842,24.38367162,21.10565635,115.1951215
V131,68.23670552,14.87108247,362.3031063,2.698601871,187.8854936,16.9237718,24.33069887,1.705725799,100.7077915,7.13987919,1.946552154,1.775194873
V132,9.0452681,22.58348527,7.253188143,20.93456601,2.056481521,15.50918589,10.74874241,18.56414269,3.279833997,1.37345025,39.46944186,6.046112303
V133,4.933372781,22.39996373,1.327379539,4.462409088,4.885539224,13.21406489,36.45552926,2.308354827,6.556512518,9.461552127,8.060355869,4.03399588
V134,11.95053162,22.30589487,3.980062405,2.252513495,0.455551987,11.9804405,41.30004348,11.50525983,5.264019784,12.2649663,2.305127582,6.609352169
V135,1.091828748,9.928447361,18.13052146,6.704626648,30.45077416,9.55225723,2.659145475,8.682950879,3.36114214,2.845001208,4.23604275,15.97004732
V136,4.120409574,26.27587901,1.717709485,18.0830681,1.192545584,6.582301066,5.825715868,4.344225445,3.010430166,23.47291307,16.98942084,4.729870295
