,1,2,3,4,5,6,7,8,9,10,11,12
V127,9.942073432,6.052307956,13.91776205,25.06974785,3.510409069,15.45145442,26.81675646,4.825087607,4.799247675,25.73476295,17.86062866,10.45515406
V128,60.25126483,93.42063626,17.08730399,37.04697434,4.269595825,20.42173907,10.56312634,15.72686342,3.852521032,4.217771081,23.80399262,12.63151716
V129,7.802490597,13.81123298,20.931467,10.64081841,10.83655107,9.74829734,2.38630392,34.63727431,5.041991688,26.31119538,19.62929663,8.371166628
V130,31.89746792,5.117729597,17.33733391,5.622844638,9.745799892,15.74864715,18.72385858,22.9394435,2.543417441,19.41918675,40.05094063,109.4408204
V131,50.00825686,453.5599357,15.56934771,119.3339292,3.649790335,14.61988335,24.42619179,4.522619096,14.20700211,4.542917091,11.91473915,4.664550541
V132,2.818082689,6.481999445,25.73269266,0.648103665,24.80895897,12.9482904,8.186195574,13.50856307,12.20774264,34.71228445,2.063677071,7.663135159
V133,7.501464044,3.306377801,22.79130264,5.520619597,6.170388226,11.47429268,22.93591143,0.921734229,4.9061121,10.65248673,8.854451233,4.202684376
V134,1.865096042,1.439277242,22.00614395,2.322715438,9.458046009,10.90427102,41.50756176,14.06557304,18.47830675,2.954120833,6.952662514,6.834677262
V135,0.994045964,16.62686132,7.17474851,24.21781964,9.854096848,9.599001431,3.375110259,10.68761312,10.86827476,5.759707749,5.214311235,13.53910852
V136,3.903933831,2.854411967,26.76334536,1.636248352,23.20335682,3.966843886,2.380914911,5.414962636,1.726456645,12.67520351,38.41721137,13.65868396
V137,149.5946236,69.77612752,20.9506796,4.413444274,5.730282538,10.9387581,19.44455234,6.142665771,5.737751633,3.286714906,5.51464738,9.784230759
V138,2.84889778,3.456074168,18.23738171,2.559232282,2.813220897,4.85190277,13.4588697,11.21155204,3.966713455,7.05277871,31.20042522,6.41752442
V139,5.894510986,2.670286403,20.04461947,2.758997476,1.798239971,9.514623187,10.99971195,7.433095051,3.992413122,7.557510602,2.459074398,16.81096539
